Name,Region,Country,City,Fest START Date,Fest END Date,Festival Lengh,Website,Entry Categories,Specialization,A-list,Deadline Regular,Deadline Extended,Free Submission,Link submission,Platform for submission,Notes about submission,Status,Last update
Amdocs - American Documentary and Animation Film Festival,North America,USA,"Palm Springs, CA",25/3/2026,29/3/2026,4 days,https://www.amdocfilmfest.com,"Short Documentary,Feature Documentary,Mid-length Documentary",,,12/10/2025,11/1/2026,,https://filmfreeway.com/AmericanDocumentaryFilmFestivalandFilmFund ; https://filmmakers.festhome.com/f/829,"FilmFreeway,Festhome",Shorts under 40 minutes. Features from 41 minutes.,Active,4/10/2025
Amman International Film Festival – Awal Film (AIFF),Middle East and North Africa,Jordan,Amman,2/7/2025,10/7/2025,8 days,http://aiff.jo,"Short Documentary,Mid-length Documentary,Feature Documentary","First feature,Arab",,10/4/2025,10/4/2025,checked,https://filmfreeway.com/AmmanFilm,FilmFreeway,"Short films must be 30 minutes or less.
Feature-length must be 60 minutes or longer.",Active,4/10/2025
Anima,Europe,Belgium,Brussels,20/2/2026,1/3/2026,9 days,https://animafestival.be/en,Short Documentary,Animation,,,,checked,https://submission-animafestival.festicine.pro/en,FestiCiné,,Active,4/10/2025
Animest International Animation Film Festival,Europe,Romania,Bucharest,3/10/2025,12/10/2025,9 days,https://www.animest.ro/en/,"Short Documentary,Feature Documentary,Student Documentary,VR/AR",Animation,,22/6/2025,22/6/2025,checked,https://animest.filmchief.com/submit-film/animest-2025,,"Short films up to 50 min
Online submissions handled through website. ",Active,4/10/2025
Ann Arbor Film Festival,North America,USA,"Ann Arbor, MI",24/3/2026,29/3/2026,5 days,https://www.aafilmfest.org,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",Experimental,,31/8/2025,30/9/2025,,https://filmfreeway.com/AAFilmFest?utm_campaign=Ann+Arbor+Film+Festival&utm_medium=External&utm_source=Submission+Button,FilmFreeway,Short films run no longer than 60 minutes. Feature films run 60 minutes or more. ,Active,4/10/2025
Antalya Golden Orange Film Festival,Europe,Turkey,Antalya,24/10/2025,2/11/2025,9 days,https://www.antalyaff.com/en/,"Feature Documentary,Student Documentary",,,,,,,,,Active,4/10/2025
Antenna Documentary Film Festival,Asia Pacific,Australia ,Sydney,7/2/2025,16/2/2025,10 days,https://antennafestival.org,"Short Documentary,Mid-length Documentary,Feature Documentary",,,15/8/2024,10/10/2024,,https://filmfreeway.com/AntennaFestival,FilmFreeway,Shorts are 30 minutes and under and the shorts competition is open only to Australian productions. Features are 60 minutes and longer and open to international productions. ,Active,5/6/2025
Antofacine,Central and South America,Chile,Antofagasta,28/2/2024,2/3/2024,4 days,https://www.antofacine.cl/,"Feature Documentary,Short Documentary,Creative/Experimental",,,15/7/2023,15/7/2023,checked,https://filmmakers.festhome.com/f/131,Festhome,"Short films are 30-minute maximum duration. Features are 50-minute minimum duration.
No edition in 2025, unsure if festival will continue",Inactive,4/10/2025
Ashland Independent Film Festival,North America,USA,"Ashland, OR",24/4/2025,27/4/2025,3 days,https://www.ashlandfilm.org/,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",,,15/8/2024,15/8/2024,,https://filmfreeway.com/ashlandfilm,FilmFreeway,Short 40 minutes or under. Features 41 minutes or over. ,Active,4/10/2025
Asian American International Film Festival (AAIFF) ,North America,USA,"New York City, NY",31/7/2025,10/8/2025,10 days,https://www.aaiff.org,"Short Documentary,Mid-length Documentary,Feature Documentary,VR/AR",Asian American,,15/2/2025,15/3/2025,,https://filmfreeway.com/aaiff,FilmFreeway,"For more information on submissions, see: https://www.aaiff.org/submissions",Active,4/10/2025
Aspen Shortsfest,North America,USA,"Aspen, CO",31/3/2025,5/4/2025,5 days,https://aspenfilm.org/our-festivals/shortsfest/,"Short Documentary,Student Documentary",,,27/9/2024,15/11/2024,,https://filmfreeway.com/AspenShortsfest,FilmFreeway,Shorts are under 40 minutes; special category for short short. ,Active,4/10/2025
Astra Film Festival,Europe,Romania,Sibiu,19/10/2025,26/10/2025,7 days,https://www.astrafilm.ro/en,"Mid-length Documentary,Feature Documentary,Student Documentary,Short Documentary",Eastern Europe,,1/4/2025,1/4/2025,checked,https://festagent.com/en/festivals/astra_fest,Festagent,Feature-length documentaries must be longer than 40 minutes. Student films must be at least 15 minutes long.,Active,4/10/2025
Atlanta DocuFest,North America,USA,"Atlanta, GA",20/3/2026,22/3/2026,2 days,http://www.docufest.com,"Short Documentary,Feature Documentary,Mid-length Documentary",,,1/10/2025,13/2/2026,,https://filmfreeway.com/docufest?utm_campaign=Atlanta+Docufest&utm_medium=External&utm_source=Submission+Button,FilmFreeway,"Check more deadlines details: https://docufest.com/submissions 
Shorts are under 45 minutes; features anything over 45 minutes. ",Active,4/11/2025
Atlanta Film Festival (ATLFF) ,North America,USA,"Atlanta, GA",24/4/2025,4/5/2025,11 days,https://www.atlantafilmfestival.com,"Short Documentary,Feature Documentary,Mid-length Documentary,VR/AR,Creative/Experimental",,,13/9/2024,4/11/2024,,https://filmfreeway.com/ATLFF,FilmFreeway,"Submission FAQ: https://www.atlantafilmfestival.com/film-submission-faq-2025

",Active,12/25/2024
Atlantic International Film Festival (AIFF),North America,Canada,Halifax,10/9/2025,17/9/2025,7 days,https://atlanticfilmfestival.ca/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,2/5/2025,13/6/2025,,https://filmfreeway.com/atlanticfilmfest,FilmFreeway,More infos: https://atlanticfilmfestival.ca/submissions,Active,4/11/2025
Atlantidoc - Festival Internacional de Cine Documental del Uruguay,Central and South America,Uruguay,Atlántida,21/10/2025,31/10/2025,10 days,https://www.atlantidoc.com,"Feature Documentary,Short Documentary",,,5/5/2025,5/5/2024,,https://filmmakers.festhome.com/f/6022/1,Festhome,Feature-length documentaries must be longer than 31 minutes. Short documentaries films must be maximum 30 minutes long.,Active,4/11/2025
Au Cinéma pour les Droits Humains - Festival Amnesty International ,Europe,France,"30 different cities in Paca, Occitanie, Corse, Drôme, Ardèche",1/3/2026,31/3/2026,31 days,https://www.au-cinema-pour-les-droits-humains.fr,"Feature Documentary,Mid-length Documentary",Human Rights,,25/8/2025,,checked,https://filmfreeway.com/AmnestyinternationalAuCinemapourlesDroitsHumains,FilmFreeway,Make sure that the film contains French Subtitles or is in French language.,Active,4/11/2025
Austin Film Festival,North America,USA,"Austin, TX",23/10/2025,30/10/2025,7 days,https://austinfilmfestival.com,"Feature Documentary,Short Documentary",,,20/5/2025,8/7/2025,,https://filmfreeway.com/AustinFilmFestival,FilmFreeway,More infos: https://austinfilmfestival.com/submit/film/online/,Active,4/11/2025
Bahamas International Film Festival,Caribbean ,Bahamas,Nassau,9/11/2025,16/11/2025,7 days,http://www.bintlfilmfest.com,"Short Documentary,Mid-length Documentary,Feature Documentary",,,1/3/2025,1/7/2025,,https://filmfreeway.com/BIFFbahamas,FilmFreeway,More infos: https://www.bintlfilmfest.com/the_festival/submissions,Active,4/11/2025
Barcelona International Women’s Film Festival - MIFDB,Europe,Spain,Barcelona,22/5/2025,6/7/2025,46 days,https://www.mostrafilmsdones.cat/en/,"Mid-length Documentary,Feature Documentary",Women,,,,,,,"The festival has a new form as following; 
Vol. I, 21.205 – 06.07.2024
Vol. II, TBA (11.04.25)",Active,4/11/2025
Beholders; documentary dialogues,Europe,Netherlands,Meierijstad,29/9/2025,5/10/2025,6 days,https://beholders.nl/,"Short Documentary,Feature Documentary,Mid-length Documentary",,,,,,,,,Active,4/14/2025
Beldocs,Europe,Serbia,Belgrade,21/5/2025,27/5/2025,6 days,https://www.beldocs.rs/en/,"Short Documentary,Mid-length Documentary,Feature Documentary,VR/AR",,,20/1/2025,24/2/2025,checked,https://filmfreeway.com/BeldocsInternationalDocumentaryFilmFestival,FilmFreeway,,Active,4/14/2025
Beloit International Film Festival,North America,USA,"Beloit, WI",28/3/2025,6/4/2025,10 days,https://beloitfilmfest.org,"Short Documentary,Mid-length Documentary,Feature Documentary",,,1/9/2024,15/11/2024,,https://filmfreeway.com/BeloitInternationalFilmFestival,FilmFreeway,Shorts are under 40 minutes; features 40 minutes and longer.,Active,12/25/2024
Bergamo Film Meeting,Europe,Italy,Bergamo,7/3/2026,15/3/2026,9 days,https://www.bergamofilmmeeting.it/en/,Feature Documentary,,,,,,https://filmfreeway.com/BergamoFilmMeeting,FilmFreeway,"Submission deadlines TBA
Has a competition section for feature documentaries (min. 50'), requiring Italian Premiere. ",Active,5/6/2025
Bergen International Film Festival,Europe,Norway,Bergen,15/10/2025,23/10/2025,9 days,https://www.biff.no,Feature Documentary,,,15/7/2025,15/7/2025,checked,https://airtable.com/appvos0UtPUgBgO3a/pagw2B26OjIKBOlws/form,,"The festival does not accept international shorts documentaries.
Norwegian titles have extended deadlines.
More info: https://www.biff.no/article/filmpamelding-2025",Active,4/14/2025
Berlinale - Berlin International Film Festival,Europe,Germany,Berlin,12/2/2026,22/2/2026,11 days,https://www.berlinale.de/en/home.html,"Short Documentary,Creative/Experimental,Feature Documentary,Student Documentary",Fiction (mainly),checked,1/11/2025,,,https://www.berlinale.de/en/film-entry/submission/start.html,,"Exact submission deadlines TBC
Shorts under 30 minutes in duration and features longer than 60 minutes. Separate deadline for short films--see guidelines (https://www.berlinale.de/en/film-entry/guidelines/general-guidelines.html). ",Active,5/6/2025
Berwick Film & Media Arts Festival,Europe,United Kingdom,Berwick,27/3/2025,30/3/2025,4 days,https://bfmaf.org/,"Creative/Experimental,Feature Documentary,Mid-length Documentary,Short Documentary",,,2/9/2024,1/10/2024,,https://bfmaf.filmchief.com/submit-work/submit-film-2025,,,Active,12/25/2024
BFI London Film Festival,Europe,United Kingdom,London,8/10/2025,19/11/2025,10 days,https://whatson.bfi.org.uk/lff/Online/default.asp,"Short Documentary,Feature Documentary,VR/AR",Fiction (mainly),checked,23/5/2025,23/5/2025,,https://form.jotform.com/250152872241349,,More information: https://www.bfi.org.uk/explore-our-festivals/69th-bfi-london-film-festival-submissions-are-open ,Active,4/14/2025
Big Sky Documentary Film Festival,North America,USA,"Missoula, MT",13/2/2026,22/2/2026,9 days,https://www.bigskyfilmfest.org,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",Indigenous,,15/8/2025,3/10/2025,,https://filmfreeway.com/BigSkyDocumentaryFilmFestival,FilmFreeway,"Guidelines: https://www.bigskyfilmfest.org/festival/submissions/
",Active,4/14/2025
Biografilm,Europe,Italy,Bologna,6/6/2025,16/6/2025,10 days,https://www.biografilm.it/,"Feature Documentary,Short Documentary",,,5/2/2025,19/3/2025,checked,https://filmmakers.festhome.com/festival/biografilm-festival,Festhome,"Accept Short Films up to 50mins, Feature docs over 50mins.",Active,4/14/2025
Black Nights Film Festival,Europe,Estonia,Tallinn,7/11/2025,23/11/2025,16 days,https://www.poff.ee,"Feature Documentary,Short Documentary,Mid-length Documentary",,checked,29/6/2025,24/8/2025,,https://filmfreeway.com/blacknightsfilmfestival,FilmFreeway,"Just Film (7-23 NOV 2025) youth and children’s film Festival
Submission is open within this section at
https://filmfreeway.com/just
https://justfilm.ee

PÖFF Shorts (11-19 NOV 2025) short film and animation Festival
Submission is open within this section at
https://filmfreeway.com/poffshorts
https://shorts.poff.ee",Active,4/14/2025
BlackStar Film Festival,North America,USA,"Philadelphia, PA",31/7/2025,3/8/2025,4 days,https://www.blackstarfest.org,"Feature Documentary,Short Documentary",BIPOC,,1/4/2025,1/4/2025,,https://www.blackstarfest.org/festival/submissions/,,"Films must 1) be directed by a person of African descent or who otherwise identifies as Black, Brown or Indigenous, and 2) feature persons of African descent, or tell a story of Black, Brown or Indigenous experiences.

Narrative feature films and documentary films must not exceed a runtime of 120 minutes, and short films must not exceed a runtime of 40 minutes.",Active,4/14/2025
Bogotá International Film Festival,Central and South America,Colombia,Bogotá,9/10/2025,15/10/2025,7 days,http://www.biff.co,"Short Documentary,Mid-length Documentary,Feature Documentary",Fiction (mainly),,,,,,,No submission information available. ,Active,4/14/2025
BOSIFEST - Belgrade International Film Festival Persons with Disabilities,Europe,Serbia,Belgrade,20/10/2025,22/10/2025,3 days,http://www.bosifest.rs,"Short Documentary,Mid-length Documentary,Feature Documentary",Disabilities,,5/5/2025,5/5/2025,checked,https://filmfreeway.com/BOSIFEST,FilmFreeway,"Accepts documentaries up to 100 minutes. A festival by and for persons with disabilities, with competitive and non-competitive sections. ",Active,4/14/2025
Boulder International Film Festival,North America,USA,"Boulder, CO",9/4/2026,12/4/2026,4 days,https://biff1.com,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",,,12/9/2025,,,https://filmfreeway.com/BoulderInternationalFIlmFestival,FilmFreeway,"Exact submission deadlines TBA
More infos: https://biff1.com/filmmakers/
Short are under 40 minutes. Films over 40 minutes are considered features.",Active,5/6/2025
Braunschweig International Film Festival ,Europe,Germany,Braunschweig,10/11/2025,16/11/2025,7 days,https://www.filmfest-braunschweig.de/en/,"Feature Documentary,Short Documentary",,,9/6/2025,24/7/2025,,https://filmfreeway.com/BraunschweigInternationalFilmFestival ; https://vp.eventival.com/biff/39,"FilmFreeway,Eventival","Short films can be submitted until June 9, 2025, while the deadline for feature-length films is July 24, 2025.
Open to short films with a maximum runtime of 15 minutes. Feature film with a minimum runtime of 70 minutes",Active,4/14/2025
Brooklyn Film Festival,North America,USA,"Brooklyn, NY",30/5/2025,8/6/2025,10 days,https://www.brooklynfilmfestival.org,"Short Documentary,Feature Documentary,Creative/Experimental,Mid-length Documentary",,,23/12/2024,13/3/2025,,https://filmfreeway.com/BrooklynFilmFestival,FilmFreeway,"Shorts are 40 minutes; mid-length and feature over 40 minutes. 
More infos: https://www.brooklynfilmfestival.org/submit",Active,12/25/2024
Brussels International Film Festival,Europe,Belgium,Brussels,20/6/2025,28/6/2025,9 days,https://briff.be,"Feature Documentary,Mid-length Documentary,Creative/Experimental",,,28/2/2025,30/4/2025,,https://filmfreeway.com/BrusselsInternationalFilmFestival,FilmFreeway,"The minimum film length is 60 minutes.
Submission is free for Belgian films.",Active,4/14/2025
Brussels Short Film Festival,Europe,Belgium,Brussels,24/4/2025,3/5/2025,10 days,https://bsff.be/en/,"Short Documentary,Student Documentary",,,16/9/2024,13/1/2025,,https://filmmakers.festhome.com/fr/festival/brussels-short-film-festival ; https://www.shortfilmdepot.com/fr/festival/12,"Festhome,Shortfilmdepot ","National and International films have different submission deadlines.

National, International and Next Generation prizes, with significant cash attached.",Active,4/14/2025
Bucheon International Fantastic Film Festival - BIFAN,Asia Pacific,South Korea,Bucheon City,3/7/2025,13/7/2025,11 days,https://www.bifan.kr/eng/,"Mid-length Documentary,Feature Documentary,Short Documentary,VR/AR",Horror\Thriller\Fantasy,,30/4/2025,30/4/2025,checked,https://festagent.com/en/festivals/pifan,Festagent,"Features: 60 minutes and/or more than 60 min
Shorts: 59 minutes and/or less than 59 min",Active,4/14/2025
Budapest International Documentary Festival,Europe,Hungary,Budapest,24/1/2026,2/2/2026,9 days,https://bidf.hu/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,31/7/2025,15/9/2025,,https://bidf.hu/submission/new,,"Documentary films of any length.
More information: https://bidf.hu/news/submit-your-film-to-bidf-2026/189",Active,4/14/2025
BUEIFF - Buenos Aires Festival Internacional De Cine,Central and South America,Argentina,Buenos Aires,1/9/2025,,,www.filmfreeway.com/bueiff,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",,,20/12/2024,30/5/2025,,www.filmfreeway.com/bueiff,FilmFreeway,"BUEIFF has two editions (September-February and March-August) and one annual event that unites its winners.
Short films under 20 minutes, feature films over 60 minutes, and student films under 15 minutes.",Active,5/6/2025
BUFF Malmö,Europe,Sweden,Malmö,7/3/2026,13/3/2026,7 days,https://www.buff.se/en/,"Short Documentary,Feature Documentary,Mid-length Documentary",Children and young audiences,,15/11/2025,,checked,https://vp.eventival.com/buff/2025,Eventival,"Exact Submission Deadlines TBA
The main target groups for BUFF are children and young people (age 3-19)",Active,5/6/2025
Buffalo International Film Festival,North America,USA,"Buffalo, NY",9/10/2025,16/10/2025,8 days,https://www.buffalofilm.org,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary,Creative/Experimental",,,9/5/2025,11/7/2025,,https://filmfreeway.com/buffalofilm,FilmFreeway,"Shorts are anything under 45 minutes; Films 45 minutes and over are considered features.
To submit a teen or youth made short (filmmakers under 18 years of age), please visit https://forms.gle/dyqRAKkG2xws2UZm7",Active,4/15/2025
Busan International Film Festival,Asia Pacific,South Korea,Busan,17/9/2025,26/10/2025,10 days,https://www.biff.kr/eng/,"Mid-length Documentary,Feature Documentary",Asian,,2/7/2025,,checked,https://www.biff.kr/eng/addon/10000001/page.asp?page_num=7990,,"Submission deadlines: 
Shorts 04.06.25 (Less than 60 min) Only Asian Fiction Films
Features 02.07.25 (Over 60 min) Asian and Non-Asian Documentaries and Fiction Films
More information: https://www.biff.kr/eng/addon/10000001/page.asp?page_num=9265",Active,4/15/2025
CAAMFest,North America,USA,"San Francisco, CA",8/5/2025,11/5/2025,4 days,https://caamedia.org/caamfest/,"Short Documentary,Feature Documentary,Mid-length Documentary,Episodic,Student Documentary",Asian American,,9/12/2024,,,https://filmfreeway.com/CAAMFest,FilmFreeway,"FEATURES : Running time of at least 41 minutes
SHORTS : Running time of 40 minutes and under ",Active,4/15/2025
Cairo International Film Festival,Middle East and North Africa,Egypt,Cairo,12/11/2025,21/11/2025,10 days,https://www.ciff.org.eg,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",,,30/6/2025,31/8/2025,,https://vp.eventival.com/ciff/45th/film-form/film_submission ; https://filmfreeway.com/CairoInternationalFilmFestival,"Eventival,FilmFreeway",Shorts must not exceed 30 minutes; mid-length/features must be 60 minutes or more.,Active,4/15/2025
Calgary International Film Festival,North America,Canada,Calgary,18/9/2025,28/9/2025,11 days,https://www.ciffcalgary.ca,"Short Documentary,Feature Documentary,Student Documentary,Creative/Experimental",,,10/4/2025,29/5/2025,,https://filmfreeway.com/CalgaryInternationalFilmFestival,FilmFreeway,"Shorts under 40 Min
More infos: https://www.ciffcalgary.ca/festival/film-submissions/",Active,4/15/2025
Camden International Film Festival,North America,USA,"Camden, ME",11/9/2025,14/9/2025,4 days,https://pointsnorthinstitute.org/ciff/,"Short Documentary,Feature Documentary,VR/AR",,,24/3/2025,12/5/2025,,https://filmfreeway.com/CamdenIFF,FilmFreeway,Shorts under 40 minutes,Active,4/15/2025
Canal de Panama Film Festival,Central and South America,Panama,Panamá City,13/8/2025,16/8/2025,4 days,https://festivalcanpan.wixsite.com/canpan,"Feature Documentary,Short Documentary,Creative/Experimental,Student Documentary",,,18/2/2025,3/8/2025,,https://filmfreeway.com/CanPan,FilmFreeway,"Mainly for shorts, all genres!",Active,4/15/2025
Cannes Critics - La Semaine de la Critique ,Europe,France,Cannes,14/5/2025,22/5/2025,9 days,https://www.semainedelacritique.com/en/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,21/3/2025,,,https://films.semainedelacritique.com/en,,"Features must be over 59 min, and the director’s first or second feature film.
More info: https://www.semainedelacritique.com/en/regulations",Active,4/15/2025
Cannes Directors’ Fortnight - Quinzaine des Cinéastes,Europe,France,Cannes,14/5/2025,24/5/2025,11 days,https://www.quinzaine-realisateurs.com/en/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,14/3/2025,,,https://films.quinzaine.fr/en,,"Dates for submissions :
Feature films 21.03.25
Short films 14.03.2025",Active,4/15/2025
Cannes Film Festival,Europe,France,Cannes,13/5/2025,24/5/2025,12 days,https://www.festival-cannes.com/en/,"Short Documentary,Feature Documentary",,checked,3/3/2025,,,https://www.festival-cannes.com/en/take-part/submit-a-film/,,"Submission Deadlines:
Features over 60 min: 14.03.2025
Short films unde 15 min: 3.04.2025

",Active,4/15/2025
Cartagena International Film Festival - FICCI,Central and South America,Colombia,Cartagena,1/4/2025,6/4/2025,6 days,http://ficcifestival.com/,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary","Fiction (mainly),Latin American ",checked,15/12/2024,15/12/2023,,https://filmmakers.festhome.com/festival/festival-internacional-de-cine-de-cartagena-de-indias-ficci ; https://festagent.com/en/festivals/cartagena,"Festhome,Festagent","Shorts under 60 min
Features over 60 min",Active,4/15/2025
Carthage Film Festival,Middle East and North Africa,Tunisia,Tunis,14/12/2024,21/12/2024,8 days,https://www.jcctunisie.org (inactive),"Feature Documentary,Short Documentary","Arab,African,Asian",checked,15/8/2023,,,,,,Active,5/6/2025
Censurados Film Festival,Central and South America,Peru,Lima,18/1/2025,24/1/2025,7 days,https://www.censuradosfilmfestival.org,"Short Documentary,Mid-length Documentary,Feature Documentary",,,1/11/2024,,checked,https://filmmakers.festhome.com/f/878/1,Festhome,"Shorts under 30 min
Features under 160 min
https://www.instagram.com/censuradosfilmfestival",Active,5/6/2025
Chesapeake Film Festival,North America,USA,"Easton, MD",10/10/2025,12/9/2025,3 days,https://chesapeakefilmfestival.com,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",Environment,,1/6/2025,21/6/2025,,https://filmfreeway.com/chesapeakefilmfestival,FilmFreeway,,Active,4/15/2025
Chicago International Film Festival,North America,USA,Chicago,15/10/2025,26/10/2025,12 days,https://www.chicagofilmfestival.com,"Short Documentary,Feature Documentary,Student Documentary",,,9/6/2025,30/6/2025,,https://filmfreeway.com/ChicagoInternationalFilmFestival,FilmFreeway,Shorts must be under 40 minutes. ,Active,4/15/2025
CINANIMA - International Animated Film Festival of Espinho,Europe,Portugal,Espinho,8/11/2024,17/11/2024,10 days,https://cinanima.pt/en/,"Short Documentary,Feature Documentary,Creative/Experimental,Student Documentary",Animation,,22/6/2025,22/6/2025,,https://filmfreeway.com/CINANIMA_76,FilmFreeway,"At least 70% of the film must be animated.
Short Films – films up to 50 minutes.
Feature Films – films over 50 minutes.
Student Films – Films until 30 minutes",Active,4/15/2025
CinéDOC - Tbilisi International Documentary Film Festival,Europe,Georgia,Tbilisi,17/9/2023,24/9/2023,8 days,https://cinedoc-tbilisi.com/en,Short Documentary,,,,,,,,"No 2025 information available yet. 

""Email confirmation 11/04/24 from Mariam Chutkerashvili of the Program Team, that the festival is on indefinite hiatus due to financial issues.""
",Inactive,4/15/2025
Cinema Du Réel,Europe,France,Paris,21/3/2026,28/3/2026,8 days,http://www.cinemadureel.org/,"Short Documentary,Feature Documentary",,,15/11/2025,30/11/2025,,https://www.cinemadureel.org/en/submit-a-film/,,"Submissions for the 2026 edition will open beginning of September.
Info:Temporary deadlines for upcoming festival edition",Active,4/15/2025
Cinemamed - Festival Cinéma Méditerranéen De Bruxelles,Europe,Belgium,Brussels,27/11/2025,5/12/2025,8 days,http://www.cinemamed.be,"Short Documentary,Feature Documentary",Mediterranean,,31/8/2025,31/8/2025,,https://films-cinemamed.festicine.pro/fr,FestiCine,"Films must either be produced, directed by a Mediterranean person\company or address subjects specifically related to the Mediterranean.
More infos: https://www.cinemamed.be/call-for-entries/",Active,4/15/2025
Cinemed - Festival Cinema Mediterranéen Montpellier,Europe,France,Montpellier,17/10/2025,25/10/2025,11 days,https://www.cinemed.tm.fr,"Short Documentary,Mid-length Documentary,Feature Documentary",Mediterranean,,7/7/2025,,,https://www.cinemed.tm.fr/appel-a-inscriptions-call-for-entries-cinemed-2025,,"𝗗𝗲𝗮𝗱𝗹𝗶𝗻𝗲𝘀 𝗳𝗼𝗿 𝗿𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻
Short Film -> July 7, 2025
Feature length documentary ->  July 18, 2025
Development Grant -> July 18, 2025",Active,4/15/2025
Cinequest Film Festival,North America,USA,"San Jose, CA",10/3/2026,22/3/2026,13 days,https://www.cinequest.org,"Short Documentary,Student Documentary,Mid-length Documentary,Feature Documentary,VR/AR,Episodic",,,13/10/2025,24/10/2025,,https://filmfreeway.com/cinequest,FilmFreeway,"See guidelines: https://www.cinequest.org/film_submissions
",Active,5/6/2025
CLAM - International Social Film Festival of Catalonia,Europe,Spain,Barcelona,17/10/2025,26/10/2025,10 Days,https://clamfestival.org/,Feature Documentary,,,,,,,,"No submission information.
Website in Catalan Only",Active,4/23/2025
